gene_symbol	Ctrl
ACTR3B	5.702140000000001
ACTR3BP2	5.183728648648649
ACTR3C	4.576812702702703
ACTR3P2	3.8355208108108103
ACTR5	6.890422432432431
ACTR6	7.943696486486488
ACTR8	5.791961351351353
ACTRT2	5.090653783783785
ACTRT3	4.437834594594594
ACVR1	7.667045405405405
ACVR1B	6.717026216216215
ACVR2A	5.540255675675675
ACVR2B	5.9614954054054055
ACVR2B-AS1	5.20165918918919
ACVRL1	5.834274864864867
ACY1	5.130127567567566
ACY3	5.167278108108108
ACYP1	6.197081621621621
ACYP2	6.87566027027027
ADA	8.57358189189189
ADAD1	4.789716486486486
ADAD2	5.931534324324324
ADAL	4.36244945945946
ADAM10	7.307668108108106
ADAM11	5.279825405405405
ADAM12	4.618198918918918
ADAM15	5.626951891891892
ADAM17	5.984485405405405
ADAM18	4.314331891891892
ADAM19	8.826204594594595
ADAM1A	5.7413605405405415
ADAM2	3.6412108108108114
ADAM20	5.623016216216216
ADAM21	4.837452162162161
ADAM22	4.8145551351351354
ADAM23	4.103247567567568
ADAM28	5.8046640540540535
ADAM29	4.285860540540541
ADAM30	5.193033783783785
ADAM33	7.735522972972974
ADAM3A	3.7193651351351336
ADAM3B	3.605201351351352
ADAM5	4.761608108108109
ADAM6	4.761905675675675
ADAM7	4.732407567567568
ADAM8	5.999773513513514
ADAM9	7.925276756756754
ADAMDEC1	3.953887837837837
ADAMTS1	5.460811081081081
ADAMTS10	6.553952432432431
ADAMTS12	5.595902432432433
ADAMTS13	6.314542162162162
ADAMTS14	5.888731621621623
ADAMTS15	4.749692702702703
ADAMTS16	5.324281621621623
ADAMTS18	4.337304324324324
ADAMTS2	5.082521081081082
ADAMTS20	3.564607027027027
ADAMTS3	3.802540540540541
ADAMTS5	5.097794054054052
ADAMTS6	3.8534164864864877
ADAMTS7	5.721096216216217
ADAMTS8	4.775321351351353
ADAMTS9	4.909711891891892
ADAMTS9-AS2	3.919642972972973
ADAMTSL1	5.081566486486486
ADAMTSL2	4.890157027027027
ADAMTSL3	3.870098918918918
ADAMTSL4	6.498126216216216
ADAMTSL5	5.96274918918919
