"gene","t_statistic"
"DNAJC3",1.6177559692628
"HAAO",1.61763049517287
"ZMIZ1",1.61712278069816
"XLOC_011401",1.61702358526413
"ZNF836",1.6168979452746
"SPACA5",1.61686888118154
"GNS",1.61645736603338
"ANXA2P1",1.61515119720564
"XLOC_l2_003647",1.6150689907392
"XLOC_006207",1.61491421031289
"TRIM61",1.61479215337224
"XLOC_000149",1.61438658695504
"XLOC_002536",1.61427847409843
"LOC648740",1.6142506291145
"XLOC_l2_013650",1.613850597793
"XLOC_005343",1.61370953369929
"CYFIP1",1.61331378964895
"C6orf225",1.61216036398695
"XLOC_001855",1.61197901251708
"CCL21",1.61073653340832
"TRRAP",1.61012621673695
"CSTT",1.60986732575298
"GNG13",1.60945574742185
"FAM169A",1.60902502112415
"ST8SIA1",1.60786935030234
"KHDRBS2",1.60745229856398
"XLOC_000087",1.60706219562109
"FAM13C",1.6067014923991
"LOC283214",1.60657451901028
"MGC42157",1.60656935612699
"CPEB4",1.60597047774686
"BAG3",1.60579747290401
"SNORA80B",1.60574666076495
"CLSTN3",1.6049487282152
"LOC440518",1.60489487146886
"CNBD1",1.60457308871664
"LOC100507009",1.60449084085841
"C15orf50",1.60433242242428
"C14orf38",1.6042156326994
"TEDDM1",1.60396995120153
"XLOC_l2_007693",1.60394508855659
"ZNF318",1.60373288981427
"LILRA3",1.60371662251509
"ZNF32",1.60291350538899
"CALM2",1.60284861928615
"XLOC_l2_012741",1.60244935013998
"GANC",1.60225431690388
"XLOC_l2_013484",1.60104846860952
"XLOC_010883",1.6008782190242
"XLOC_010286",1.60014647215934
"TECRL",1.59977390074071
"XLOC_006934",1.59920437386987
"LPXN",1.59914695235688
"XLOC_l2_012919",1.59881849981956
"OR2C3",1.59815651217508
"XLOC_002892",1.59759299551315
"FLJ22447",1.59742851677826
"XLOC_012605",1.59735415718533
"SLC3A1",1.5973145162616
"SIVA1",1.59692880668572
"OR8A1",1.59687067398879
"LOC649133",1.59686277204532
"SASH1",1.59681761043496
"CXorf23",1.59614808636041
"MUS81",1.5957265331929
"JMY",1.59549648976526
"TEX12",1.59537598822905
"XLOC_l2_009163",1.59454848383632
"LOC100507332",1.59400822562514
"TMEM41B",1.59372462025246
"ATP8B2",1.59366847361317
"PRPF8",1.59331211549268
"XLOC_008848",1.59297677257866
"LOC100129408",1.59296255559853
"TSEN2",1.59277107063943
"COL4A5",1.59273397067622
"XLOC_001776",1.59258655409377
"XLOC_006942",1.59255843620962
"ABHD10",1.59211441696537
"XLOC_009798",1.59205371852248
"ZNF677",1.59171256354678
"XLOC_004249",1.59169949738109
"Q39472",1.59023232732832
"LOC100129104",1.58997759452425
"ETNK1",1.58995213095692
"JMJD5",1.58984723585349
"BCL10",1.58969648811269
"ESR1",1.58958662961145
"ANKRD36B",1.58941111755484
"MBD5",1.58884661910989
"ACACB",1.58883545693295
"ZNF532",1.58870788843858
"ACTR2",1.58810668539206
"PRAMEF12",1.58722703867721
"NEB",1.58718088688357
"SEPT6",1.58714518862884
"NAGA",1.58701428200915
"XLOC_012819",1.58659312545317
"XLOC_009779",1.58645396896566
"LRP10",1.58631324253738
"XLOC_010427",1.58617839419655
"CXorf26",1.58615401680218
"CARD16",1.58480517452509
"XLOC_001809",1.58476831480864
"LOC100506219",1.58469575850164
"ANKDD1B",1.58454463898417
"XLOC_014366",1.58452567515656
"XLOC_007545",1.58419075890015
"TMEM191B",1.58351350356931
"LINC00115",1.58232946487429
"CCIN",1.58214623233227
"XLOC_012360",1.58205948060902
"XLOC_l2_006983",1.58199754251648
"PTTG1IP",1.58090074204529
"XLOC_012904",1.58045643969292
"COL23A1",1.58022322712
"TMEM45B",1.58011326784804
"XLOC_006281",1.57928437591627
"JRKL",1.57923159893996
"XLOC_008480",1.57893011904877
"XLOC_l2_004010",1.57873929675816
"XLOC_011292",1.57855751502992
"CDH7",1.57834464167264
"XLOC_001755",1.57825388236857
"LOC100130093",1.57824935336138
"PRSS47",1.57799609012784
